genus,total_species,species_with_images,species_missing,total_images,avg_images_per_species,coverage_pct,ai_ready_status
Bulbophyllum,2164,82,2082,1137,0.5,35.32,INSUFFICIENT
Epidendrum,1930,84,1846,2276,1.2,55.22,INSUFFICIENT
Dendrobium,1590,66,1524,1662,1.0,52.17,INSUFFICIENT
Stelis,1317,0,1317,0,0.0,0.00,INSUFFICIENT
Lepanthes,1205,0,1205,0,0.0,0.00,INSUFFICIENT
Ophrys,1166,1,1165,18,0.0,1.52,INSUFFICIENT
Habenaria,1090,6,1084,47,0.0,4.16,INSUFFICIENT
Maxillaria,666,41,625,937,1.4,59.99,INSUFFICIENT
Masdevallia,655,0,655,0,0.0,0.00,INSUFFICIENT
Coelogyne,603,0,603,0,0.0,0.00,INSUFFICIENT
Pleurothallis,585,21,564,534,0.9,48.63,INSUFFICIENT
Caladenia,473,0,473,0,0.0,0.00,INSUFFICIENT
Pterostylis,455,0,455,0,0.0,0.00,INSUFFICIENT
Oncidium,382,23,359,971,2.5,73.01,INSUFFICIENT
Microchilus,378,0,378,0,0.0,0.00,INSUFFICIENT
Liparis,321,0,321,0,0.0,0.00,INSUFFICIENT
Dactylorhiza,320,0,320,0,0.0,0.00,INSUFFICIENT
Acianthera,306,0,306,0,0.0,0.00,INSUFFICIENT
Crepidium,304,0,304,0,0.0,0.00,INSUFFICIENT
Eulophia,273,0,273,0,0.0,0.00,INSUFFICIENT
Oberonia,261,0,261,0,0.0,0.00,INSUFFICIENT
Telipogon,256,0,256,0,0.0,0.00,INSUFFICIENT
Taeniophyllum,251,0,251,0,0.0,0.00,INSUFFICIENT
Cattleya,249,13,236,507,2.0,68.24,INSUFFICIENT
Polystachya,241,0,241,0,0.0,0.00,INSUFFICIENT
Platanthera,236,1,235,20,0.1,7.84,INSUFFICIENT
Angraecum,232,1,231,20,0.1,7.97,INSUFFICIENT
Cynorkis,230,0,230,0,0.0,0.00,INSUFFICIENT
Catasetum,228,0,228,0,0.0,0.00,INSUFFICIENT
Phreatia,222,0,222,0,0.0,0.00,INSUFFICIENT
Paphiopedilum,219,1,218,188,0.9,46.31,INSUFFICIENT
Disa,218,0,218,0,0.0,0.00,INSUFFICIENT
Cyrtochilum,216,0,216,0,0.0,0.00,INSUFFICIENT
Thrixspermum,205,0,205,0,0.0,0.00,INSUFFICIENT
Encyclia,202,0,202,0,0.0,0.00,INSUFFICIENT
Corybas,200,0,200,0,0.0,0.00,INSUFFICIENT
Prasophyllum,197,0,197,0,0.0,0.00,INSUFFICIENT
Sobralia,195,0,195,0,0.0,0.00,INSUFFICIENT
Pinalia,186,0,186,0,0.0,0.00,INSUFFICIENT
Calanthe,170,0,170,0,0.0,0.00,INSUFFICIENT
Malaxis,163,0,163,0,0.0,0.00,INSUFFICIENT
Appendicula,155,0,155,0,0.0,0.00,INSUFFICIENT
Glomera,155,0,155,0,0.0,0.00,INSUFFICIENT
Ceratostylis,154,0,154,0,0.0,0.00,INSUFFICIENT
Vanilla,153,3,150,26,0.2,14.77,INSUFFICIENT
Dracula,150,0,150,0,0.0,0.00,INSUFFICIENT
Diuris,149,0,149,0,0.0,0.00,INSUFFICIENT
Octomeria,145,0,145,0,0.0,0.00,INSUFFICIENT
Gomesa,144,0,144,0,0.0,0.00,INSUFFICIENT
Thelymitra,142,0,142,0,0.0,0.00,INSUFFICIENT
Elleanthus,136,0,136,0,0.0,0.00,INSUFFICIENT
Prosthechea,135,0,135,0,0.0,0.00,INSUFFICIENT
Pabstiella,132,0,132,0,0.0,0.00,INSUFFICIENT
Agrostophyllum,131,0,131,0,0.0,0.00,INSUFFICIENT
Anathallis,129,0,129,0,0.0,0.00,INSUFFICIENT
Dichaea,127,0,127,0,0.0,0.00,INSUFFICIENT
Platystele,126,0,126,0,0.0,0.00,INSUFFICIENT
Hemipilia,126,0,126,0,0.0,0.00,INSUFFICIENT
Cranichis,124,0,124,0,0.0,0.00,INSUFFICIENT
Goodyera,119,0,119,0,0.0,0.00,INSUFFICIENT
Peristylus,117,0,117,0,0.0,0.00,INSUFFICIENT
Anacamptis,114,0,114,0,0.0,0.00,INSUFFICIENT
Trichocentrum,113,0,113,0,0.0,0.00,INSUFFICIENT
Orchis,113,0,113,0,0.0,0.00,INSUFFICIENT
Specklinia,110,0,110,0,0.0,0.00,INSUFFICIENT
Stichorkis,110,0,110,0,0.0,0.00,INSUFFICIENT
Cymbidium,108,3,105,402,3.7,79.29,INSUFFICIENT
Satyrium,107,0,107,0,0.0,0.00,INSUFFICIENT
Gastrodia,105,0,105,0,0.0,0.00,INSUFFICIENT
Fernandezia,102,0,102,0,0.0,0.00,INSUFFICIENT
Vanda,101,7,94,373,3.7,79.87,INSUFFICIENT
Cleisostoma,99,0,99,0,0.0,0.00,INSUFFICIENT
Serapias,99,0,99,0,0.0,0.00,INSUFFICIENT
Zeuxine,97,0,97,0,0.0,0.00,INSUFFICIENT
Disperis,95,0,95,0,0.0,0.00,INSUFFICIENT
Pelexia,94,0,94,0,0.0,0.00,INSUFFICIENT
Cyclopogon,93,0,93,0,0.0,0.00,INSUFFICIENT
Robiquetia,93,0,93,0,0.0,0.00,INSUFFICIENT
Ponthieva,93,0,93,0,0.0,0.00,INSUFFICIENT
Phalaenopsis,93,6,87,338,3.6,79.53,INSUFFICIENT
Comparettia,90,0,90,0,0.0,0.00,INSUFFICIENT
Genoplesium,89,0,89,0,0.0,0.00,INSUFFICIENT
Odontochilus,89,0,89,0,0.0,0.00,INSUFFICIENT
Mormodes,88,0,88,0,0.0,0.00,INSUFFICIENT
Neottia,87,0,87,0,0.0,0.00,INSUFFICIENT
Trichoglottis,85,0,85,0,0.0,0.00,INSUFFICIENT
Cylindrolobus,84,0,84,0,0.0,0.00,INSUFFICIENT
Brachionidium,84,0,84,0,0.0,0.00,INSUFFICIENT
Stanhopea,84,0,84,0,0.0,0.00,INSUFFICIENT
Andinia,84,0,84,0,0.0,0.00,INSUFFICIENT
Cypripedium,82,15,67,720,8.8,91.49,INSUFFICIENT
Gastrochilus,82,0,82,0,0.0,0.00,INSUFFICIENT
Gongora,82,0,82,0,0.0,0.00,INSUFFICIENT
Campylocentrum,81,0,81,0,0.0,0.00,INSUFFICIENT
Trichotosia,81,0,81,0,0.0,0.00,INSUFFICIENT
Scaphyglottis,79,0,79,0,0.0,0.00,INSUFFICIENT
Nervilia,77,0,77,0,0.0,0.00,INSUFFICIENT
Karma,74,0,74,0,0.0,0.00,INSUFFICIENT
Cheirostylis,72,0,72,0,0.0,0.00,INSUFFICIENT
Restrepia,71,0,71,0,0.0,0.00,INSUFFICIENT
Coryanthes,70,0,70,0,0.0,0.00,INSUFFICIENT
Brassia,70,0,70,0,0.0,0.00,INSUFFICIENT
Herminium,70,0,70,0,0.0,0.00,INSUFFICIENT
Cleistes,69,8,61,192,2.8,75.89,INSUFFICIENT
Podochilus,66,0,66,0,0.0,0.00,INSUFFICIENT
Kefersteinia,65,0,65,0,0.0,0.00,INSUFFICIENT
Aerangis,63,0,63,0,0.0,0.00,INSUFFICIENT
Pterichis,62,0,62,0,0.0,0.00,INSUFFICIENT
Lycaste,62,0,62,0,0.0,0.00,INSUFFICIENT
Anoectochilus,62,0,62,0,0.0,0.00,INSUFFICIENT
Andreettaea,60,0,60,0,0.0,0.00,INSUFFICIENT
Phragmipedium,60,16,44,415,6.9,90.41,INSUFFICIENT
Scaphosepalum,59,0,59,0,0.0,0.00,INSUFFICIENT
Epipactis,59,0,59,0,0.0,0.00,INSUFFICIENT
Sarcoglottis,58,0,58,0,0.0,0.00,INSUFFICIENT
Porroglossum,58,0,58,0,0.0,0.00,INSUFFICIENT
Jumellea,57,0,57,0,0.0,0.00,INSUFFICIENT
Bletia,57,0,57,0,0.0,0.00,INSUFFICIENT
Spiranthes,57,0,57,0,0.0,0.00,INSUFFICIENT
Chloraea,56,0,56,0,0.0,0.00,INSUFFICIENT
Bifrenaria,56,0,56,0,0.0,0.00,INSUFFICIENT
Dryadella,55,0,55,0,0.0,0.00,INSUFFICIENT
Ornithocephalus,55,0,55,0,0.0,0.00,INSUFFICIENT
Cyrtopodium,54,0,54,0,0.0,0.00,INSUFFICIENT
Porpax,54,0,54,0,0.0,0.00,INSUFFICIENT
Myoxanthus,54,0,54,0,0.0,0.00,INSUFFICIENT
Holothrix,54,0,54,0,0.0,0.00,INSUFFICIENT
Notylia,53,0,53,0,0.0,0.00,INSUFFICIENT
Crossoglossa,52,0,52,0,0.0,0.00,INSUFFICIENT
Octarrhena,51,0,51,0,0.0,0.00,INSUFFICIENT
Lepanthopsis,51,0,51,0,0.0,0.00,INSUFFICIENT
Rhipidoglossum,51,0,51,0,0.0,0.00,INSUFFICIENT
Macroclinium,50,0,50,0,0.0,0.00,INSUFFICIENT
Brachycorythis,50,0,50,0,0.0,0.00,INSUFFICIENT
Tridactyle,49,0,49,0,0.0,0.00,INSUFFICIENT
Nigritella,49,0,49,0,0.0,0.00,INSUFFICIENT
Ida,49,0,49,0,0.0,0.00,INSUFFICIENT
Luisia,48,0,48,0,0.0,0.00,INSUFFICIENT
Vrydagzynea,48,0,48,0,0.0,0.00,INSUFFICIENT
Rodriguezia,48,0,48,0,0.0,0.00,INSUFFICIENT
Trichopilia,47,0,47,0,0.0,0.00,INSUFFICIENT
Styloglossum,47,0,47,0,0.0,0.00,INSUFFICIENT
Aeranthes,46,0,46,0,0.0,0.00,INSUFFICIENT
Gomphichis,45,0,45,0,0.0,0.00,INSUFFICIENT
Epigeneium,44,0,44,0,0.0,0.00,INSUFFICIENT
Zootrophion,43,0,43,0,0.0,0.00,INSUFFICIENT
Stigmatodactylus,43,0,43,0,0.0,0.00,INSUFFICIENT
Spathoglottis,42,0,42,0,0.0,0.00,INSUFFICIENT
Phaius,41,0,41,0,0.0,0.00,INSUFFICIENT
Dipodium,41,0,41,0,0.0,0.00,INSUFFICIENT
Palmorchis,40,0,40,0,0.0,0.00,INSUFFICIENT
Lecanorchis,40,1,39,41,1.0,51.25,INSUFFICIENT
Blepharoglossum,39,0,39,0,0.0,0.00,INSUFFICIENT
Benthamia,39,0,39,0,0.0,0.00,INSUFFICIENT
Microcoelia,38,0,38,0,0.0,0.00,INSUFFICIENT
Mycaranthes,38,0,38,0,0.0,0.00,INSUFFICIENT
Oxystophyllum,37,0,37,0,0.0,0.00,INSUFFICIENT
Plocoglottis,36,0,36,0,0.0,0.00,INSUFFICIENT
Pleione,36,0,36,0,0.0,0.00,INSUFFICIENT
Xylobium,35,0,35,0,0.0,0.00,INSUFFICIENT
Eria,35,0,35,0,0.0,0.00,INSUFFICIENT
xSerapicamptis,35,0,35,0,0.0,0.00,INSUFFICIENT
Chiloschista,34,0,34,0,0.0,0.00,INSUFFICIENT
Epistephium,34,1,33,55,1.6,62.50,INSUFFICIENT
Calochilus,34,0,34,0,0.0,0.00,INSUFFICIENT
Laelia,34,0,34,0,0.0,0.00,INSUFFICIENT
Hetaeria,34,0,34,0,0.0,0.00,INSUFFICIENT
Galeandra,34,0,34,0,0.0,0.00,INSUFFICIENT
