genus,species,scientific_name,eol_page_id,local_image_count,data_status
Epidendrum,paniculatum,Epidendrum paniculatum Ruiz &amp; Pav.,,313,missing_eol_id
Cymbidium,goeringii,Cymbidium goeringii,1092726,310,has_data
Oncidium,sphacelatum,Oncidium sphacelatum Lindl.,,310,missing_eol_id
Bulbophyllum,species,Bulbophyllum species,,300,missing_eol_id
Epidendrum,species,Epidendrum species,,300,missing_eol_id
Pleurothallis,liripipia,Pleurothallis liripipia K. W. Holcomb,,300,missing_eol_id
Oncidium,flexuosum,Oncidium flexuosum,,297,missing_eol_id
Vanda,species,Vanda species,,297,missing_eol_id
Cattleya,species,Cattleya species,,290,missing_eol_id
Epidendrum,nocturnum,Epidendrum nocturnum,,290,missing_eol_id
Epidendrum,amphistomum,Epidendrum amphistomum A. Rich.,1097812,276,has_data
Phalaenopsis,"",Phalaenopsis Blume,,267,missing_eol_id
Paphiopedilum,Pfitzer,Paphiopedilum Pfitzer,,188,missing_eol_id
Dendrobium,lindleyi,Dendrobium lindleyi Steud.,,179,missing_eol_id
Dendrobium,nobile,Dendrobium nobile Lindl.,1094075,179,has_data
Phragmipedium,longifolium Warsz.,Phragmipedium longifolium (Warsz. ex Rchb.f.) Rolfe,,168,missing_eol_id
Dendrobium,monophyllum,Dendrobium monophyllum F. Muell.,,149,missing_eol_id
Aerides,maculosa,Aerides maculosa Lindl.,,118,missing_eol_id
Maxillaria,variabilis,Maxillaria variabilis,,118,missing_eol_id
Dendrobium,nobile,Dendrobium nobile,,112,missing_eol_id
Epidendrum,tridactylum,Epidendrum tridactylum Lindl.,,111,missing_eol_id
Cypripedium,parviflorum Salisb.,Cypripedium parviflorum Salisb. var. pubescens (Willd.) Knight,1293728,110,has_data
Cypripedium,parviflorum Salisb.,Cypripedium parviflorum Salisb. var. makasin (Farw.) Sheviak,1293730,110,has_data
Cypripedium,passerinum Richardson,Cypripedium passerinum Richardson,1111999,110,has_data
Cypripedium,reginae Walt.,Cypripedium reginae Walt.,,110,missing_eol_id
Cypripedium,yatabeanum Makino,Cypripedium yatabeanum Makino,1111978,102,has_data
Cleistes,Rich.,Cleistes Rich.,,100,missing_eol_id
Cleistesiopsis,Pansarin &,Cleistesiopsis Pansarin & F. Barros,,100,missing_eol_id
Isotria,Raf.,Isotria Raf.,108344,100,has_data
Pogonia,Juss.,Pogonia Juss.,29151,100,has_data
Dendrobium,bigibbum,Dendrobium bigibbum,1093893,99,has_data
Isotria,medeoloides Pursh,Isotria medeoloides (Pursh) Raf.,1142652,96,has_data
Eriaxis,Rchb.f.,Eriaxis Rchb.f.,,92,missing_eol_id
Cattleya,intermedia,Cattleya intermedia,1090666,88,has_data
Cleistesiopsis,bifaria Fernald,Cleistesiopsis bifaria (Fernald) Pansarin & F. Barros,,86,missing_eol_id
Oncidium,leleui,Oncidium leleui R. Jim&eacute;nez &amp; Soto Arenas,,82,missing_eol_id
Pleurothallis,grandiflora,Pleurothallis grandiflora Lindl.,,77,missing_eol_id
Dendrobium,bifalce,Dendrobium bifalce Lindl.,1093892,76,has_data
Epidendrum,subnutans,Epidendrum subnutans Ames &amp; C. Schweinf.,,75,missing_eol_id
Dendrobium,schoeninum,Dendrobium schoeninum Lindl.,,74,missing_eol_id
Cymbidium,sinense,Cymbidium sinense (Andrews) Willd.,,72,missing_eol_id
Bulbophyllum,lobbii,Bulbophyllum lobbii,249984,68,has_data
Maxillaria,valenzuelana,Maxillaria valenzuelana (A. Rich.) Nash,,68,missing_eol_id
Pleurothallis,cardiothallis,Pleurothallis cardiothallis Rchb.f.,,64,missing_eol_id
Maxillaria,haemathodes,Maxillaria haemathodes (Ruiz &amp; Pav.) Garay,,63,missing_eol_id
Cleistesiopsis,oricamporum P.,Cleistesiopsis oricamporum P. M. Br.,,59,missing_eol_id
Epidendrum,eburneum,Epidendrum eburneum Rchb.f.,,58,missing_eol_id
Oncidium,bryolophotum,Oncidium bryolophotum Rchb.f.,,58,missing_eol_id
Maxillaria,arbuscula,Maxillaria arbuscula (Lindl.) Rchb.f.,,57,missing_eol_id
Bulbophyllum,nutans,Bulbophyllum nutans Thouars,,56,missing_eol_id
Cleistesiopsis,divaricata L.,Cleistesiopsis divaricata (L.) Pansarin & F. Barros,,55,missing_eol_id
Epistephium,Kunth,Epistephium Kunth,,55,missing_eol_id
Maxillaria,scorpioidea,Maxillaria scorpioidea Kraenzl.,,55,missing_eol_id
Oncidium,stenoglossum,Oncidium stenoglossum (Schltr.) Dressler &amp; N. H. Williams,,55,missing_eol_id
Pogonia,japonica Rchb.f.,Pogonia japonica Rchb.f.,,55,missing_eol_id
Cattleya,perrinii,Cattleya perrinii Lindl.,,53,missing_eol_id
Maxillaria,standleyi,Maxillaria standleyi (Ames) Molinari,,53,missing_eol_id
Bulbophyllum,careyanum,Bulbophyllum careyanum (Hook.) Spreng.,,51,missing_eol_id
Cypripedium,x andrewsii,Cypripedium x andrewsii A. M. Fuller,,51,missing_eol_id
Cleistes,rosea Lindl.,Cleistes rosea Lindl.,1091598,50,has_data
Epidendrum,strobiliferum,Epidendrum strobiliferum Rchb.f.,,50,missing_eol_id
Maxillaria,praestans,Maxillaria praestans Rchb.f.,,50,missing_eol_id
Cypripedium,tibeticum King,Cypripedium tibeticum King ex Rolfe,1095037,49,has_data
Phragmipedium,pearcei Rchb.f.,Phragmipedium pearcei (Rchb.f.) Rauh & Senghas,,49,missing_eol_id
Epidendrum,catillus,Epidendrum catillus Rchb.f. &amp; Warsz.,,48,missing_eol_id
