eol_page_id,taxonomy_id,genus,species
1015567,5772,Caladenia,catenata Sm.
107388,26826,Ansellia,
1081305,5789,Caladenia,cracens D.
1081316,5794,Caladenia,cruciformis D.
1081346,5805,Caladenia,dimorpha Fitzg.
1082081,5972,Caladenia,radialis R.
1082083,5973,Caladenia,radiata Nicholls
108344,609,Isotria,Raf.
1086370,23436,Calanthe,brevicornu
1086648,23464,Calanthe,fargesii
1086806,23481,Calanthe,henryi
1087190,23523,Calanthe,pauciverrucosa
1087220,23526,Calanthe,plantaginea
1087584,23553,Calanthe,tricarinata
1089283,6083,Calochilus,neocaledonicus Schltr.
1089289,16011,Calopogon,multiflorus
1089290,16012,Calopogon,oklahomensis
1089291,16013,Calopogon,pallidus
1089302,31581,Calypso,bulbosa
1089497,18280,Dendrobium,sutiknoi
1089533,24437,Campylocentrum,amazonicum
1089537,32524,Epidendrum,foulquieri
1089563,24455,Campylocentrum,fasciola
1089577,24463,Campylocentrum,hondurense
1089578,24464,Campylocentrum,huebneri
1089585,24479,Campylocentrum,micranthum
1089588,24481,Campylocentrum,minutum
1089608,24508,Campylocentrum,spannagelii
1089620,24510,Campylocentrum,tenue
1089696,6700,Microchilus,constrictus Ormerod
1089751,30870,Pescatoria,violacea
1090178,17352,Dendrobium,eymanum
1090477,27171,Catasetum,albovirens
1090479,27174,Catasetum,aripuanense
1090482,27177,Catasetum,barbatum
1090489,27188,Catasetum,brichtae
1090490,27190,Catasetum,callosum
1090500,27204,Catasetum,collare
1090507,27210,Catasetum,cristatum
1090514,27221,Catasetum,dupliciscutula
1090517,27225,Catasetum,ferox
1090527,27232,Catasetum,globiflorum
1090534,27239,Catasetum,incurvum
1090541,27245,Catasetum,juruenense
1090545,27250,Catasetum,kraenzlinianum
1090548,27254,Catasetum,lanceatum
1090550,27279,Catasetum,moorei
1090552,27256,Catasetum,lemosii
1090555,27260,Catasetum,longifolium
1090559,27265,Catasetum,macrocarpum
1090561,27267,Catasetum,maculatum
1090564,27271,Catasetum,matogrossense
1090565,27273,Catasetum,meeae
1090573,27280,Catasetum,multifidum
1090580,27288,Catasetum,ornithoides
1090586,27298,Catasetum,planiceps
1090590,27300,Catasetum,pulchrum
1090595,27305,Catasetum,quadridens
1090596,27307,Catasetum,randii
1090598,27310,Catasetum,reichenbachianum
1090599,27311,Catasetum,richteri
1090603,27316,Catasetum,rolfeanum
1090604,27317,Catasetum,rondonense
1090607,27319,Catasetum,saccatum
1090613,27327,Catasetum,semicirculatum
1090616,27332,Catasetum,stenoglossum
1090621,27339,Catasetum,tenebrosum
1090622,27340,Catasetum,tenuiglossum
1090641,7906,Cattleya,bicolor
1090666,7907,Cattleya,intermedia
1090675,7904,Cattleya,labiata
1090681,34336,Cattleya,luteola
1090710,34391,Cattleya,violacea
1090719,34257,Caularthron,bicornutum
1090733,15257,Cephalanthera,austiniae
1090768,24935,Ceratocentron,fesselii
1090893,22941,Ceratostylis,scariosa
1091064,7933,Aerangis,biloba
1091086,3120,Chamorchis,alpina L.
1091099,24573,Aerangis,monantha
1091106,31000,Chaubardia,klugii
1091118,24577,Aerangis,pallidiflora
1091119,30927,Cheiradenia,cuspidata
1091129,7158,Cheirostylis,divina Guinea
1091133,7167,Cheirostylis,griffithii Lindl.
1091146,7184,Cheirostylis,notialis D.
1091150,7187,Cheirostylis,orobanchoides F.
1091152,7189,Cheirostylis,parvifolia Lindl.
1091159,24582,Aerangis,seegeri
1091167,7205,Cheirostylis,yunnanensis Rolfe
1091205,24385,Aeranthes,africana
1091229,24388,Aeranthes,angustidens
1091236,24389,Aeranthes,antennophora
1091253,24399,Aeranthes,ecalcarata
1091326,24403,Aeranthes,leandriana
1091328,24404,Aeranthes,moratii
1091329,24405,Aeranthes,multinodis
1091372,24410,Aeranthes,parkesii
1091373,24411,Aeranthes,parvula
1091376,24412,Aeranthes,peyrotii
1091380,24413,Aeranthes,polyanthemus
1091393,24420,Aeranthes,setipes
1091398,24425,Aeranthes,tropophila
1091598,595,Cleistes,rosea Lindl.
1091634,31007,Aganisia,pulchella
1091768,16423,Coelogyne,fimbriata
1091769,16425,Coelogyne,flaccida
1091837,16621,Coelogyne,ovalis
1091849,16667,Coelogyne,prolifera
1091896,16821,Coelogyne,veitchii
1092003,31658,Corallorhiza,bentleyi
1092009,31665,Corallorhiza,mertensiana
1092011,31669,Corallorhiza,striata
1092014,31672,Corallorhiza,wisteriana
1092041,31323,Coryanthes,bicalcarata
