id,genus,species,image_url,source,country,locality,observer,license,created_at
227497,Thrixspermum,flammeum,https://iiif.rbge.org.uk/herb/iiif/E00850599/manifest,GBIF,,,,,2025-11-09 10:53:00.641958
185137,Catasetum,viridiflavum,https://inaturalist-open-data.s3.amazonaws.com/photos/405795509/original.jpeg,GBIF,,,,,2025-11-08 23:29:45.221748
267902,Epidendrum,lignosum,https://inaturalist-open-data.s3.amazonaws.com/photos/507324727/original.jpg,GBIF,,,,,2025-11-09 19:37:45.883425
298292,Bulbophyllum,schimperianum,https://images.mobot.org/tropicosimages4/detailimages/TropicosImagesVol4/101061000/5DF4D3AB-0F1F-4BBA-976D-752B28054D3D.jpg,GBIF,,,,,2025-11-10 03:21:03.196668
224255,Phreatia,elongata,"https://iiif.rbge.org.uk/herb/iiif/E01313092/full/1600,/0/default.jpg",GBIF,,,,,2025-11-09 08:55:28.982734
5255,Bulbophyllum,beccarii,https://inaturalist-open-data.s3.amazonaws.com/photos/425511366/original.jpg,GBIF,Brunei Darussalam,,Foo Chuan Wei,http://creativecommons.org/licenses/by-nc/4.0/,2025-10-19 14:02:13.140590
1747,Cypripedium,x andrewsii,https://inaturalist-open-data.s3.amazonaws.com/photos/18983894/original.jpg,GBIF,United States of America,,Greg Funka,http://creativecommons.org/licenses/by-nc/4.0/,2025-10-19 11:20:44.318985
213552,Gomphichis,plantaginifolia C.,https://inaturalist-open-data.s3.amazonaws.com/photos/192187324/original.jpeg,GBIF,,,,,2025-11-09 06:22:15.806037
258101,Masdevallia,minuta,https://inaturalist-open-data.s3.amazonaws.com/photos/384855534/original.jpeg,GBIF,,,,,2025-11-09 17:15:30.311845
212743,Coelogyne,usitana,http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMDQvMTgvMjAvQS9QaG90b181YzNjY2M1YzAzMjIwLmpwZw==,GBIF,,,,,2025-11-09 06:08:06.646581
206700,Dactylorhiza,sambucina,https://www.artsobservasjoner.no/MediaLibrary/2025/4/70235cdb-3093-4315-85b9-3b209e9e3ff8_image.jpg,GBIF,,,,,2025-11-09 04:36:24.097432
