genus,species,image_url,source,country,locality,latitude,longitude,observer,license,created_at
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552535516/original.jpg,iNaturalist,,,,,slarson8,cc-by-nc,2025-11-26 03:39:50.850601
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552536280/original.jpg,iNaturalist,"Washington, US","Washington, US",46.9035282,-122.5480776,slarson8,cc-by-nc,2025-11-26 03:39:50.781926
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552536253/original.jpg,iNaturalist,"Washington, US","Washington, US",46.9035282,-122.5480776,slarson8,cc-by-nc,2025-11-26 03:39:50.715525
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552798114/original.jpg,iNaturalist,"Grant County, OR, USA","Grant County, OR, USA",44.6004566,-118.6012501,bob_patton,cc-by-nc,2025-11-26 03:39:50.651906
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552798119/original.jpg,iNaturalist,"Grant County, OR, USA","Grant County, OR, USA",44.6004838,-118.6012716,bob_patton,cc-by-nc,2025-11-26 03:39:50.583779
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552982427/original.jpg,iNaturalist,"Improvement District No. 4, AB T0K, Canada","Improvement District No. 4, AB T0K, Canada",49.1499300,-114.0994953,asherwarkentin,cc-by-nc,2025-11-26 03:39:50.517814
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552982419/original.jpg,iNaturalist,"Improvement District No. 4, AB T0K, Canada","Improvement District No. 4, AB T0K, Canada",49.1499300,-114.0994953,asherwarkentin,cc-by-nc,2025-11-26 03:39:50.453487
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552982412/original.jpg,iNaturalist,"Improvement District No. 4, AB T0K, Canada","Improvement District No. 4, AB T0K, Canada",49.1499300,-114.0994953,asherwarkentin,cc-by-nc,2025-11-26 03:39:50.387986
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/552979923/original.jpg,iNaturalist,"Improvement District No. 4, AB T0K, Canada","Improvement District No. 4, AB T0K, Canada",49.1499300,-114.0994953,asherwarkentin,cc-by-nc,2025-11-26 03:39:50.323534
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/553002324/original.jpg,iNaturalist,"Chelan County, WA, USA","Chelan County, WA, USA",47.7831960,-120.7860568,tuoichen,cc-by-nc,2025-11-26 03:39:50.259109
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/554095431/original.jpg,iNaturalist,"Kananaskis, AB, CA","Kananaskis, AB, CA",51.0344000,-115.0160000,tanisha_henry,cc-by-nc,2025-11-26 03:39:50.194959
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/554184866/original.jpg,iNaturalist,"Sedel'nikovskiy rayon, RU-OM, RU","Sedel'nikovskiy rayon, RU-OM, RU",56.6580781,75.1537092,anatolymikhaltsov,cc-by-nc,2025-11-26 03:39:50.131868
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/554184907/original.jpg,iNaturalist,"Sedel'nikovskiy rayon, RU-OM, RU","Sedel'nikovskiy rayon, RU-OM, RU",56.6795158,75.1141745,anatolymikhaltsov,cc-by-nc,2025-11-26 03:39:50.067550
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/555598556/original.jpg,iNaturalist,"Kananaskis, AB, CA","Kananaskis, AB, CA",50.6658217,-114.5785217,tanisha_henry,cc-by-nc,2025-11-26 03:39:50.004088
