genus,species,image_count,country_count,sources
Oncidium,sphacelatum,310,9,"GBIF,Tropicos - Missouri Botanical Garden"
Cymbidium,goeringii,310,4,"GBIF,Tropicos - Missouri Botanical Garden"
Epidendrum,nocturnum,306,17,"GBIF,Tropicos - Missouri Botanical Garden"
Epidendrum,paniculatum,302,20,"GBIF,Tropicos - Missouri Botanical Garden"
Bulbophyllum,species,300,26,GBIF
Pleurothallis,liripipia,300,16,GBIF
Epidendrum,species,300,21,GBIF
Oncidium,flexuosum,297,29,"GBIF,Tropicos - Missouri Botanical Garden"
Vanda,species,297,18,GBIF
Cattleya,species,290,9,GBIF
Epidendrum,amphistomum,276,1,GBIF
Dendrobium,nobile,275,17,"Chris Howard Collection,GBIF,Tropicos - Missouri Botanical Garden"
Phalaenopsis,,266,17,GBIF
Cypripedium,parviflorum Salisb.,218,2,"GBIF,Tropicos - Missouri Botanical Garden"
Paphiopedilum,Pfitzer,188,13,GBIF
Dendrobium,lindleyi,181,13,"Chris Howard Collection,GBIF"
Phragmipedium,longifolium Warsz.,159,4,"GBIF,Tropicos - Missouri Botanical Garden"
Dendrobium,monophyllum,149,3,GBIF
Ophrys,x,145,1,"GBIF,iNaturalist"
Maxillaria,variabilis,118,9,"GBIF,Tropicos - Missouri Botanical Garden"
Aerides,maculosa,118,2,"GBIF,Tropicos - Missouri Botanical Garden"
Cypripedium,passerinum Richardson,110,2,"GBIF,Tropicos - Missouri Botanical Garden"
Cypripedium,reginae Walt.,110,2,"GBIF,Tropicos - Missouri Botanical Garden"
Epidendrum,tridactylum,109,5,GBIF
Oncidium,x,104,0,GBIF
Cypripedium,yatabeanum Makino,102,3,"GBIF,Tropicos - Missouri Botanical Garden"
Cleistesiopsis,Pansarin &,100,1,GBIF
Isotria,Raf.,100,1,GBIF
Pogonia,Juss.,100,2,GBIF
Cleistes,Rich.,100,4,GBIF
Dactylorhiza,majalis ssp.,99,0,GBIF
Dendrobium,bigibbum,99,3,"GBIF,Tropicos - Missouri Botanical Garden"
Caladenia,longicauda ssp.,98,2,"GBIF,iNaturalist"
Isotria,medeoloides Pursh,96,2,"GBIF,Tropicos - Missouri Botanical Garden"
Anacamptis,morio ssp.,96,0,GBIF
Cattleya,intermedia,95,2,"GBIF,Roberta Fox Collection,Tropicos - Missouri Botanical Garden"
Eriaxis,Rchb.f.,92,1,GBIF
