genus,species_count
Bulbophyllum,2164
Epidendrum,1929
Dendrobium,1589
Stelis,1317
Lepanthes,1205
Ophrys,1165
Habenaria,1089
Maxillaria,666
Masdevallia,655
Coelogyne,603
Pleurothallis,585
Caladenia,473
Pterostylis,455
Oncidium,382
Microchilus,378
Liparis,321
Dactylorhiza,320
Acianthera,306
Crepidium,304
Eulophia,273
Oberonia,261
Telipogon,256
Taeniophyllum,251
Cattleya,249
Polystachya,241
Platanthera,235
Angraecum,232
Cynorkis,230
Catasetum,228
Phreatia,222
Paphiopedilum,219
Disa,218
Cyrtochilum,216
Thrixspermum,205
Encyclia,202
Corybas,200
Prasophyllum,197
Sobralia,195
Pinalia,186
Calanthe,170
Malaxis,163
Appendicula,155
Glomera,155
Ceratostylis,154
Vanilla,152
Dracula,150
Diuris,149
Octomeria,145
Gomesa,144
Thelymitra,142
Elleanthus,136
Prosthechea,135
Pabstiella,132
Agrostophyllum,131
Anathallis,129
Dichaea,127
Platystele,126
Hemipilia,126
Cranichis,124
Goodyera,119
Peristylus,117
Anacamptis,114
Trichocentrum,113
Orchis,113
Specklinia,110
Stichorkis,110
Cymbidium,108
Satyrium,107
Gastrodia,105
Fernandezia,102
Vanda,101
Cleisostoma,99
Serapias,99
Zeuxine,97
Disperis,95
Pelexia,94
Cyclopogon,93
Robiquetia,93
Ponthieva,93
Phalaenopsis,93
Comparettia,90
Genoplesium,89
Odontochilus,89
Mormodes,88
Neottia,87
Trichoglottis,85
Stanhopea,84
Andinia,84
Cylindrolobus,84
Brachionidium,84
Gastrochilus,82
Cypripedium,82
Gongora,82
Campylocentrum,81
Trichotosia,81
Scaphyglottis,79
Nervilia,77
Karma,74
Cheirostylis,72
Restrepia,71
Coryanthes,70
Brassia,70
Herminium,70
Cleistes,69
Podochilus,66
Kefersteinia,65
Aerangis,63
Lycaste,62
Pterichis,62
Anoectochilus,62
Andreettaea,60
Scaphosepalum,59
Phragmipedium,59
Epipactis,59
Sarcoglottis,58
Porroglossum,58
Jumellea,57
Bletia,57
Spiranthes,57
Chloraea,56
Bifrenaria,56
Dryadella,55
Ornithocephalus,55
Cyrtopodium,54
Porpax,54
Myoxanthus,54
Holothrix,54
Notylia,53
Crossoglossa,52
Octarrhena,51
Lepanthopsis,51
Rhipidoglossum,51
Macroclinium,50
Brachycorythis,50
Tridactyle,49
Nigritella,49
Ida,49
Luisia,48
Vrydagzynea,48
Rodriguezia,48
Trichopilia,47
Styloglossum,47
Aeranthes,46
Gomphichis,45
Epigeneium,44
Zootrophion,43
Stigmatodactylus,43
