id,scientific_name,genus,species,author,family,common_names,country,elevation_meters,observation_date
517,Apostasia Blume,Apostasia,Blume,,,,Australia,,2025-01-23
619,Epistephium duckei Huber,Epistephium,duckei Huber,,,,,,
519,Apostasia fujianica Yuan Y. Li & S. R. Lan,Apostasia,fujianica Yuan,,,,,,
520,Apostasia latifolia Rolfe,Apostasia,latifolia Rolfe,,,,,,
524,Apostasia parvula Schltr.,Apostasia,parvula Schltr.,,,,,,
529,Neuwiedia griffithii Rchb.f.,Neuwiedia,griffithii Rchb.f.,,,,,,
533,Neuwiedia singapureana (Wall. ex Baker) Rolfe,Neuwiedia,singapureana Wall.,,,,,,
534,Neuwiedia veratrifolia Blume,Neuwiedia,veratrifolia Blume,,,,,,
535,Neuwiedia zollingeri Rchb.f.,Neuwiedia,zollingeri Rchb.f.,,,,,,
536,Neuwiedia zollingeri Rchb.f. var. annamensis (Gagnep.) Aver.,Neuwiedia,zollingeri Rchb.f.,,,,,,
10551,Ophrys x circae W. Rossi &amp; Prola,Ophrys,x,"",,"",,,
537,Neuwiedia zollingeri Rchb.f. var. javanica (J. J. Sm.) de Vogel,Neuwiedia,zollingeri Rchb.f.,,,,,,
1161,Disperis Sw.,Disperis,Sw.,,,,,,
547,Pogonia Juss.,Pogonia,Juss.,,,,,,
7773,Cranichis carlos-parrae Szlach. & Kolan.,Cranichis,carlos-parrae Szlach.,,,,,,
554,Cleistesiopsis Pansarin & F. Barros,Cleistesiopsis,Pansarin &,,,,,,
14423,Aa fiebrigii (Schltr.) Schltr.,Aa,fiebrigii,"",,"",,,
7945,Maxillaria species,Maxillaria,species,"",,Maxillaria species,,,
562,Cleistes aphylla Hoehne,Cleistes,aphylla Hoehne,,,,,,
587,Cleistes pallida Funez & Pansarin,Cleistes,pallida Funez,,,,,,
949,Phragmipedium x richteri Roeth & O. Gruss,Phragmipedium,x richteri,,,,,,
695,Vanilla barbellata Rchb.f.,Vanilla,barbellata Rchb.f.,,,,,,
727,Vanilla edwallii Hoehne,Vanilla,edwallii Hoehne,,,,,,
790,Vanilla seranica J. J. Sm.,Vanilla,seranica J.,,,,,,
