page_id,scientific_name,trait_name,trait_value,trait_unit
29154,Tipularia,http://eol.org/schema/terms/ExtinctionStatus,http://eol.org/schema/terms/extinct,
29432,Cancellaria subgen. Barkeria,http://eol.org/schema/terms/ExtinctionStatus,http://eol.org/schema/terms/extinct,
1134386,Platanthera leucophaea (Nutt.) Lindl.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1140470,Liparis rosseelii Stévart,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
231446,Bulbophyllum debile Bosser,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
251804,Bulbophyllum masoalanum Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1099337,Angraecum equitans Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1134440,Platanthera chapmanii (Small) Luer,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
986516,Bulbophyllum scaberulum (Rolfe) Bolus,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1091328,Aeranthes moratii Bosser,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1093022,Eggelingia gabonensis P. J. Cribb & Laan,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1135709,Peristylus holochila (Hillebr.) N. Hallé,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1089762,Polystachya lejolyana Stévart,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1113017,Habenaria angustissima Summerh.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1100661,Angraecum melanostictum Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1099696,Angraecum setipes Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
231490,Bulbophyllum septatum Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
252988,Bulbophyllum moratii Bosser,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1133071,Polystachya stodolnyi Szlach. & Olszewski,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1142652,Isotria medeoloides (Pursh) Raf.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1130306,Spiranthes brevilabris Lindl.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1092897,Cynorkis sylvatica Bosser,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1142572,Jumellea stenophylla (Frapp. ex Cordem.) Schltr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1092879,Cynorkis rolfei Hochr.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1113163,Angraecum peyrotii Bosser,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
1133118,Polystachya parviflora Summerh.,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000446,
