id,current_name,filename_name,filename
4999,Dendrobium Kingianum Var S,Dendrobium kingianum var,https://www.flowershots.net/web-content/Photogallery/Dendrobiums/Australian/Dendrobium%20kingianum%20var%20s%20copy.jpg?%20copy.jpg?%20copy.jpg
4968,Dracula Amaliae,Dracula amaliae copy,https://www.flowershots.net/web-content/Photogallery/dracula/Dracula-amaliae%20copy.jpg
2532,Trichocentrum Den dickasonii,Den dickasonii,https://orchidcentral.org/Images/Dendrobium/Species/4836C_Den dickasonii.jpg
2542,Trichocentrum Den farmeri,Den farmeri,https://orchidcentral.org/Images/Dendrobium/Species/4737_Den farmeri.jpg
4641,Cyp Californicum Ced1Wb,Cyp californicum,https://www.flowershots.net/web-content/Photogallery/thumbnails/Cyp_californicum_CED1wb.jpg
2595,Trichocentrum Den palpebrae,Den palpebrae,https://orchidcentral.org/Images/Dendrobium/Species/3859P_Den palpebrae.jpg
2644,Trichocentrum Den unicum,Den unicum,https://orchidcentral.org/Images/Dendrobium/Species/4061P_Den unicum.jpg
4608,,Dracula vampira,https://www.flowershots.net/web-content/Photogallery/thumbnails/Dracula-vampira_RP1_A4%20copy.jpg
4611,,Pailionanthe vandarum,https://www.flowershots.net/web-content/Photogallery/thumbnails/Pailionanthe_vandarum.jpg
2780,Trichocentrum Ophrys speculum,Ophrys speculum,https://orchidcentral.org/Images/Disa-Habenaria-Stenoglottis-etc/Species/3885_Ophrys speculum 3.jpg
4973,Dracula Gorgona,Dracula gorgona copy,https://www.flowershots.net/web-content/Photogallery/dracula/Dracula-gorgona%20copy.jpg
3303,Trichocentrum Drac sodiroi,Drac sodiroi,https://orchidcentral.org/Images/Pleurothallids-Masdevallia-etc/Species/3117_Drac sodiroi.jpg
3349,Trichocentrum Masd infracta,Masd infracta,https://orchidcentral.org/Images/Pleurothallids-Masdevallia-etc/Species/4795_Masd infracta.jpg
5001,Pleione Formosana,Pleione formosana copy,https://www.flowershots.net/web-content/Photogallery/Pleione/Pleione%20formosana%20copy.jpg
5018,Dendrobium Speciosum V Curvicaule,Den speciosum v,https://www.flowershots.net/web-content/Photogallery/Dendrobiums/Australian/Den_speciosum_v_curvicaule%20copy.jpg
6531,,Phalaenopsis amabilis var,https://www.flowershots.net/web-content/Photogallery/thumbnails/Phalaenopsis%20amabilis%20var%20java.jpg
3559,Trichocentrum Sob macrantha rogersiana,Sob macra,https://orchidcentral.org/Images/Sobralia/Species/5116_Sob macra.jpg
1618,Ctsm callosum hermaphrdite and male,Ctsm callosum,https://orchidcentral.org/Images/Catasetinae and other Cymbidieae/Species/2223HM_Ctsm callosum.jpg
1626,Ctsm fimbriatum male,Catasetum fimbriatum,https://orchidcentral.org/Images/Catasetinae and other Cymbidieae/Species/3373_Catasetum fimbriatum.jpg
3557,Trichocentrum Sob macrantha,Sob macra,https://orchidcentral.org/Images/Sobralia/Species/5116_Sob macra.jpg
4885,Ophrys Bombyliflora,Ophrys bombyliflora copy,https://www.flowershots.net/web-content/Photogallery/greece/Crete/Ophrys%20bombyliflora%20copy.jpg
1920,IT Epi nanegalense,Epi nanegalense,https://orchidcentral.org/Images/Cattleya Tribe/Species/4954C_Epi nanegalense.jpg
4941,Ophrys Tenthredinifera,Ophrys tenthredinifera copy,https://www.flowershots.net/web-content/Photogallery/greece/Crete/Ophrys%20tenthredinifera%20copy.jpg
2621,PT Den speciosum var grandiflorum,Den speciosum,https://orchidcentral.org/Images/Dendrobium/Species/3138_Den speciosum.jpg
5009,Pleione Maculata,Pleione maculata copy,https://www.flowershots.net/web-content/Photogallery/Pleione/Pleione%20maculata%20copy.jpg
3281,Trichocentrum Drac bella,Dracula bella,https://orchidcentral.org/Images/Pleurothallids-Masdevallia-etc/Species/2965_Dracula bella.jpg
