observation_id,uuid,observation_url,created_at,updated_at,kingdom,phylum,class,order,family,subfamily,tribe,genus,species,subspecies,variety,taxon_id,taxon_rank,taxon_rank_level,ancestry,common_name,native,introduced,endemic,threatened,extinct,captive,latitude,longitude,positional_accuracy,location_description,country,state_province,county,place_guess,elevation_meters,coordinate_uncertainty,observed_on,observed_time,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,identifications_count,community_taxon_match,observer_username,observer_id,photo_count,image_url,image_filename,photo_license,photo_attribution,wikipedia_url,observations_count_species,description,tags,annotations
324435463,eb557b59-bd48-4baa-af9a-85b84f918e5a,https://www.inaturalist.org/observations/324435463,2025-11-02T12:47:34+11:00,2025-11-02T12:58:22+11:00,,,,,,,,,Thelymitra pauciflora,,,406514,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796666/54686,slender sun-orchid,True,False,False,False,False,False,-37.6264995044,143.5885792467,5,"Victoria, AU",AU,Victoria,,"Victoria, AU",,28359,2025-11-02,2025-11-02T12:25:13+11:00,Australia/Melbourne,research,1,0,2,True,emma6189,6289615,1,https://inaturalist-open-data.s3.amazonaws.com/photos/587214632/original.jpg,inat_324435463_Thelymitra_pauciflora_1.jpg,cc-by-nc,"(c) emma6189, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Thelymitra_pauciflora,1261,,,[]
324435298,56f0aec9-7e19-4ec5-bfb6-6ec33b62ff8d,https://www.inaturalist.org/observations/324435298,2025-11-02T12:46:00+11:00,2025-11-02T12:49:21+11:00,,,,,,,,,Calochilus robertsonii,,,83369,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796666/83370,Purple Beard Orchid,False,False,False,False,False,False,-33.1873033333,149.1592861667,4,"Mullion Range State Conservation Area, Ophir, NSW, AU",AU,NSW,Ophir,"Mullion Range State Conservation Area, Ophir, NSW, AU",,4,2025-11-02,2025-11-02T11:30:24+11:00,Australia/Sydney,research,1,0,2,True,msydes,5263397,3,https://inaturalist-open-data.s3.amazonaws.com/photos/587214208/original.jpg,inat_324435298_Calochilus_robertsonii_1.jpg,cc-by-nc,"(c) Marita Sydes, some rights reserved (CC BY-NC)",https://en.wikipedia.org/wiki/Calochilus_robertsonii,3112,Calochilus platychilus as per Bower and Medd,,[]
324435298,56f0aec9-7e19-4ec5-bfb6-6ec33b62ff8d,https://www.inaturalist.org/observations/324435298,2025-11-02T12:46:00+11:00,2025-11-02T12:49:21+11:00,,,,,,,,,Calochilus robertsonii,,,83369,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796666/83370,Purple Beard Orchid,False,False,False,False,False,False,-33.1873033333,149.1592861667,4,"Mullion Range State Conservation Area, Ophir, NSW, AU",AU,NSW,Ophir,"Mullion Range State Conservation Area, Ophir, NSW, AU",,4,2025-11-02,2025-11-02T11:30:24+11:00,Australia/Sydney,research,1,0,2,True,msydes,5263397,3,https://inaturalist-open-data.s3.amazonaws.com/photos/587214237/original.jpg,inat_324435298_Calochilus_robertsonii_2.jpg,cc-by-nc,"(c) Marita Sydes, some rights reserved (CC BY-NC)",https://en.wikipedia.org/wiki/Calochilus_robertsonii,3112,Calochilus platychilus as per Bower and Medd,,[]
324435298,56f0aec9-7e19-4ec5-bfb6-6ec33b62ff8d,https://www.inaturalist.org/observations/324435298,2025-11-02T12:46:00+11:00,2025-11-02T12:49:21+11:00,,,,,,,,,Calochilus robertsonii,,,83369,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796666/83370,Purple Beard Orchid,False,False,False,False,False,False,-33.1873033333,149.1592861667,4,"Mullion Range State Conservation Area, Ophir, NSW, AU",AU,NSW,Ophir,"Mullion Range State Conservation Area, Ophir, NSW, AU",,4,2025-11-02,2025-11-02T11:30:24+11:00,Australia/Sydney,research,1,0,2,True,msydes,5263397,3,https://inaturalist-open-data.s3.amazonaws.com/photos/587214258/original.jpg,inat_324435298_Calochilus_robertsonii_3.jpg,cc-by-nc,"(c) Marita Sydes, some rights reserved (CC BY-NC)",https://en.wikipedia.org/wiki/Calochilus_robertsonii,3112,Calochilus platychilus as per Bower and Medd,,[]
324432373,88fe5ddf-13d9-4629-b3d2-7cbe961217f1,https://www.inaturalist.org/observations/324432373,2025-11-01T21:22:16-04:00,2025-11-01T21:34:12-04:00,,,,,,,,,Cypripedium acaule,,,47588,species,10,48460/47126/211194/47125/47163/47218/47217/211065/47589/904149,pink lady's slipper,True,False,False,False,False,False,45.2564238101,-77.2690773006,30,"Renfrew County, ON, Canada",Canada,ON,Renfrew County,"Renfrew County, ON, Canada",,30,2025-06-07,2025-06-07T13:31:00-04:00,America/Nipigon,research,1,0,2,True,bogend,1269946,2,https://inaturalist-open-data.s3.amazonaws.com/photos/587202761/original.jpg,inat_324432373_Cypripedium_acaule_1.jpg,cc-by-nc,"(c) bogend, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Cypripedium_acaule,58134,,,[]
324432373,88fe5ddf-13d9-4629-b3d2-7cbe961217f1,https://www.inaturalist.org/observations/324432373,2025-11-01T21:22:16-04:00,2025-11-01T21:34:12-04:00,,,,,,,,,Cypripedium acaule,,,47588,species,10,48460/47126/211194/47125/47163/47218/47217/211065/47589/904149,pink lady's slipper,True,False,False,False,False,False,45.2564238101,-77.2690773006,30,"Renfrew County, ON, Canada",Canada,ON,Renfrew County,"Renfrew County, ON, Canada",,30,2025-06-07,2025-06-07T13:31:00-04:00,America/Nipigon,research,1,0,2,True,bogend,1269946,2,https://inaturalist-open-data.s3.amazonaws.com/photos/587202776/original.jpg,inat_324432373_Cypripedium_acaule_2.jpg,cc-by-nc,"(c) bogend, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Cypripedium_acaule,58134,,,[]
324431866,a5bcf35f-be6a-4876-805e-15084e2af6e3,https://www.inaturalist.org/observations/324431866,2025-11-02T11:48:28+10:30,2025-11-02T12:04:20+10:30,,,,,,,,,Caladenia tentaculata,,,474399,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796655/140838,eastern mantis orchid,True,False,True,False,False,False,-34.9992389325,138.6463269499,5,"Lodge Tk, Belair, SA, AU",AU,SA,Belair,"Lodge Tk, Belair, SA, AU",,5,2025-10-26,2025-10-26T10:29:16+10:30,Australia/Adelaide,research,1,0,2,True,dh9375,9206137,11,https://inaturalist-open-data.s3.amazonaws.com/photos/587206829/original.jpg,inat_324431866_Caladenia_tentaculata_1.jpg,cc-by-nc,"(c) dh9375, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Caladenia_tentaculata,4449,,,[]
324431866,a5bcf35f-be6a-4876-805e-15084e2af6e3,https://www.inaturalist.org/observations/324431866,2025-11-02T11:48:28+10:30,2025-11-02T12:04:20+10:30,,,,,,,,,Caladenia tentaculata,,,474399,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796655/140838,eastern mantis orchid,True,False,True,False,False,False,-34.9992389325,138.6463269499,5,"Lodge Tk, Belair, SA, AU",AU,SA,Belair,"Lodge Tk, Belair, SA, AU",,5,2025-10-26,2025-10-26T10:29:16+10:30,Australia/Adelaide,research,1,0,2,True,dh9375,9206137,11,https://inaturalist-open-data.s3.amazonaws.com/photos/587206858/original.jpg,inat_324431866_Caladenia_tentaculata_2.jpg,cc-by-nc,"(c) dh9375, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Caladenia_tentaculata,4449,,,[]
324431866,a5bcf35f-be6a-4876-805e-15084e2af6e3,https://www.inaturalist.org/observations/324431866,2025-11-02T11:48:28+10:30,2025-11-02T12:04:20+10:30,,,,,,,,,Caladenia tentaculata,,,474399,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796655/140838,eastern mantis orchid,True,False,True,False,False,False,-34.9992389325,138.6463269499,5,"Lodge Tk, Belair, SA, AU",AU,SA,Belair,"Lodge Tk, Belair, SA, AU",,5,2025-10-26,2025-10-26T10:29:16+10:30,Australia/Adelaide,research,1,0,2,True,dh9375,9206137,11,https://inaturalist-open-data.s3.amazonaws.com/photos/587207120/original.jpg,inat_324431866_Caladenia_tentaculata_3.jpg,cc-by-nc,"(c) dh9375, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Caladenia_tentaculata,4449,,,[]
324431866,a5bcf35f-be6a-4876-805e-15084e2af6e3,https://www.inaturalist.org/observations/324431866,2025-11-02T11:48:28+10:30,2025-11-02T12:04:20+10:30,,,,,,,,,Caladenia tentaculata,,,474399,species,10,48460/47126/211194/47125/47163/47218/47217/738348/752416/796655/140838,eastern mantis orchid,True,False,True,False,False,False,-34.9992389325,138.6463269499,5,"Lodge Tk, Belair, SA, AU",AU,SA,Belair,"Lodge Tk, Belair, SA, AU",,5,2025-10-26,2025-10-26T10:29:16+10:30,Australia/Adelaide,research,1,0,2,True,dh9375,9206137,11,https://inaturalist-open-data.s3.amazonaws.com/photos/587206919/original.jpg,inat_324431866_Caladenia_tentaculata_4.jpg,cc-by-nc,"(c) dh9375, some rights reserved (CC BY-NC)",http://en.wikipedia.org/wiki/Caladenia_tentaculata,4449,,,[]
