id,taxonomy_id,display_name,scientific_name,genus,species,author,region,native_habitat,bloom_time,growth_habit,climate_preference,leaf_form,pseudobulb_presence,light_requirements,temperature_range,water_requirements,fertilizer_needs,cultural_notes,image_filename,image_url,google_drive_id,photographer,image_source,ocr_text,ai_description,ai_confidence,ai_extracted_metadata,ingestion_source,validation_status,is_featured,view_count,created_at,updated_at,user_id,rhs_registration_id,is_hybrid,is_species,grex_name,clone_name,pod_parent,pollen_parent,parentage_formula,generation,registration_date,registrant,rhs_verification_status,enhancement_data,pollinator_types,flowering_time,mycorrhizal_fungi,is_fragrant,photo_date,continent,climate_zone,phenotype_variations,morphological_traits,variation_analysis,mutation_indicators,phenotype_confidence,common_names,name_derivation,native_distribution,environmental_zones,leaf_shape,leaf_description,flower_description,plant_size,botanical_features,decimal_latitude,decimal_longitude,country,collector,event_date,data_source,state_province,locality,collection_number,gbif_id,source_url,is_flowering,flowering_stage,flower_count,inflorescence_count,flower_size_mm,flower_measurements,bloom_season_indicator,flowering_photo_date,flowering_photo_datetime,photo_gps_coordinates,camera_info,exif_data,growing_environment,substrate_type,mounting_evidence,natural_vs_cultivated,light_conditions,humidity_indicators,temperature_indicators,root_visibility,plant_maturity,setting_type,companion_plants,elevation_indicators,conservation_status_clues,identification_status,identification_votes,suggested_genus,suggested_species,gbif_occurrence_key,gbif_species_key,gbif_dataset_key,gbif_basis_of_record,gbif_license,gbif_occurrence_status,gbif_establishment_means,gbif_last_updated,inaturalist_observation_id,inaturalist_quality_grade,inaturalist_identifications_count,inaturalist_license_code,inaturalist_positional_accuracy,inaturalist_last_updated,external_images,external_media_count,external_image_licenses,external_image_credits,literature_references,cultivation_sources,reference_citations,conservation_papers,taxonomic_publications,horticultural_articles,nursery_recommendations,current_availability,price_range,purchase_links,seed_suppliers,tissue_culture_sources,specialty_vendors,care_guides,video_resources,forum_discussions,expert_advice,research_significance,conservation_status_details,habitat_research,pollination_studies,breeding_research,commercial_importance,propagation_difficulty,market_demand,seasonal_availability,import_restrictions,society_highlights,show_awards,notable_growers,community_notes,external_data_sources,eol_page_id,eol_traits,eol_common_names,eol_synonyms,eol_descriptions,eol_images,eol_last_updated
5108,,Masdevallia bellum,Masdevallia bellum,Masdevallia,bellum,,,,,epiphytic,,,,,,,,,,,,Demo Scraper B,,,Masdevallia bellum is a beautiful orchid with unique characteristics.,0.7,,demo scraper b_demo,pending,f,0,2025-08-25 01:03:05.198794,2025-08-26 08:44:44.16145,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,,Angraecum Viguieri,Angraecum Viguieri,Angraecum,Viguieri,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Angraecum/Angraecum-viguieri.jpg,,Ron Parsons,,,Angraecum  is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:37.741585,2025-09-07 05:21:38.377295,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,,Matsuri Zygopetalum,,Matsuri,Zygopetalum,,,,,,,,,,,,,,,,1RYmYYlxeFokrzoCysWYo0ndsZozZYQwx,Ron Hardy,,,Member submission: Wonderfully fragrant and long lasting blooms,,,Five Cities Orchid Society Member Portal,member_submitted,,,2025-09-06 02:30:56.738911,2025-09-06 02:30:56.738911,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,Member Submissions,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,,"Brassavola ""Little Stars""",,Brassavola,"""Little Stars""",,,,,,,,,,,,,,,,1cTq62JnK2LNjqxsh3BkeOYAoUZCSeQ13,Ron Hardy,,,Member submission: Very good blooming plant on a piece of bark!,,,Five Cities Orchid Society Member Portal,member_submitted,,,2025-09-06 02:30:56.738911,2025-09-06 02:30:56.738911,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,Member Submissions,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,,Dendrobium grandiflorum,Dendrobium grandiflorum,Dendrobium,grandiflorum,,,,,epiphytic,,,,,,,,,,,,Demo Scraper A,,,"Dendrobium orchid with diverse growth habits and flowering patterns, adapted to various climatic conditions.",0.7,,demo scraper a_demo,pending,f,0,2025-08-25 01:03:05.59559,2025-08-26 08:44:44.161451,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,,H Endzfeldii2 Copy,H Endzfeldii2 Copy,H,Endzfeldii2,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/thumbnails/H%20endzfeldii2%20copy.jpg,,Ron Parsons,,,H Endzfeldii2 is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_direct,rejected,f,0,2025-08-25 00:50:40.407135,2025-09-08 01:17:01.071375,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4967,,Dendrobium Agrostophyllum,Dendrobium Agrostophyllum,Dendrobium,Agrostophyllum,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Dendrobiums/Australian/Dendrobium%20agrostophyllum2%20copy.jpg?%20copy.jpg,,Ron Parsons,,,"Dendrobium orchid with diverse growth habits and flowering patterns, adapted to various climatic conditions.",0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:42.583838,2025-09-07 05:18:34.899029,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4968,,Dracula Amaliae,Dracula Amaliae,Dracula,Amaliae,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/dracula/Dracula-amaliae%20copy.jpg,,Ron Parsons,,,Dracula  is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:42.651485,2025-09-07 05:18:34.991245,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,,Vanda Hybrid,,Vanda,hybrid,,,,,,,,,,,,,,,,1UdDh3j-IWAMHkmLMYECMKUCwt2hVf6Ax,Ron Hardy,,,Member submission: Great Vanda growing in a glass vase with just bare roots and doing well! V. Kultana Magenta x (V. Pak Chyong Blue x Patchara Blue),,,Five Cities Orchid Society Member Portal,member_submitted,,,2025-09-06 02:30:56.738911,2025-09-06 02:30:56.738911,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,Member Submissions,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4615,,C Aclandiae%20Copy,,Cattleya,Aclandiae%20Copy,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_Bifoliate/C_aclandiae%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Aclandiae%20Copy is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_photogallery,rejected,f,0,2025-08-25 00:36:35.631009,2025-09-08 01:17:01.07137,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
