id,scientific_name,genus,species,author,synonyms,common_names,created_at,updated_at
610,Isotria medeoloides (Pursh) Raf.,Isotria,medeoloides Pursh,,,,2025-09-07 07:06:05.232005,2025-09-07 07:06:05.232008
611,Isotria verticillata (Muhl. ex Willd.) Raf.,Isotria,verticillata Muhl.,,,,2025-09-07 07:06:05.270985,2025-09-07 07:06:05.270987
612,Epistephium Kunth,Epistephium,Kunth,,,,2025-09-07 07:06:05.310351,2025-09-07 07:06:05.310354
613,Epistephium amplexicaule Poepp. & Endl.,Epistephium,amplexicaule Poepp.,,,,2025-09-07 07:06:05.34967,2025-09-07 07:06:05.349673
614,Epistephium araracuarae Szlach.,Epistephium,araracuarae Szlach.,,,,2025-09-07 07:06:05.391473,2025-09-07 07:06:05.391477
615,Epistephium arrojadoanum Barb. Rodr.,Epistephium,arrojadoanum Barb.,,,,2025-09-07 07:06:05.448919,2025-09-07 07:06:05.448923
616,Epistephium brevicristatum R. E. Schult.,Epistephium,brevicristatum R.,,,,2025-09-07 07:06:05.489859,2025-09-07 07:06:05.489861
617,Epistephium cardonae Szlach. & Kolan.,Epistephium,cardonae Szlach.,,,,2025-09-07 07:06:05.529564,2025-09-07 07:06:05.529568
618,Epistephium chironii Molinari,Epistephium,chironii Molinari,,,,2025-09-07 07:06:05.570914,2025-09-07 07:06:05.570923
619,Epistephium duckei Huber,Epistephium,duckei Huber,,,,2025-09-07 07:06:05.610514,2025-09-07 07:06:05.610518
620,Epistephium elatum Kunth,Epistephium,elatum Kunth,,,,2025-09-07 07:06:05.658335,2025-09-07 07:06:05.658338
621,Epistephium ellipticum R. O. Williams & Summerh.,Epistephium,ellipticum R.,,,,2025-09-07 07:06:05.697545,2025-09-07 07:06:05.697547
622,Epistephium epiphyticum Szlach. & Kolan.,Epistephium,epiphyticum Szlach.,,,,2025-09-07 07:06:05.736826,2025-09-07 07:06:05.73683
623,Epistephium frederici-augusti Rchb.f. & Warsz.,Epistephium,frederici-augusti Rchb.f.,,,,2025-09-07 07:06:05.776197,2025-09-07 07:06:05.776201
624,Epistephium garayi Szlach.,Epistephium,garayi Szlach.,,,,2025-09-07 07:06:05.815445,2025-09-07 07:06:05.815449
625,Epistephium hernandii Garay,Epistephium,hernandii Garay,,,,2025-09-07 07:06:05.854588,2025-09-07 07:06:05.854591
626,Epistephium kubiyuense Szlach.,Epistephium,kubiyuense Szlach.,,,,2025-09-07 07:06:05.932786,2025-09-07 07:06:05.932789
627,Epistephium lamprophyllum Schltr.,Epistephium,lamprophyllum Schltr.,,,,2025-09-07 07:06:05.973268,2025-09-07 07:06:05.973272
628,Epistephium laxiflorum Barb. Rodr.,Epistephium,laxiflorum Barb.,,,,2025-09-07 07:06:06.012985,2025-09-07 07:06:06.012988
629,Epistephium lobulosum Garay,Epistephium,lobulosum Garay,,,,2025-09-07 07:06:06.052316,2025-09-07 07:06:06.052319
630,Epistephium matogrossense Hoehne,Epistephium,matogrossense Hoehne,,,,2025-09-07 07:06:06.091803,2025-09-07 07:06:06.091806
631,Epistephium parviflorum Lindl.,Epistephium,parviflorum Lindl.,,,,2025-09-07 07:06:06.131161,2025-09-07 07:06:06.131164
632,Epistephium portellianum Barb. Rodr.,Epistephium,portellianum Barb.,,,,2025-09-07 07:06:06.170635,2025-09-07 07:06:06.170638
633,Epistephium praestans Hoehne,Epistephium,praestans Hoehne,,,,2025-09-07 07:06:06.209938,2025-09-07 07:06:06.209942
634,Epistephium rhombilabium Szlach.,Epistephium,rhombilabium Szlach.,,,,2025-09-07 07:06:06.262174,2025-09-07 07:06:06.262178
635,Epistephium sclerophyllum Lindl.,Epistephium,sclerophyllum Lindl.,,,,2025-09-07 07:06:06.307754,2025-09-07 07:06:06.307757
636,Epistephium sessiliflorum Lindl.,Epistephium,sessiliflorum Lindl.,,,,2025-09-07 07:06:06.348437,2025-09-07 07:06:06.348441
637,Epistephium speciosum Barb. Rodr.,Epistephium,speciosum Barb.,,,,2025-09-07 07:06:06.389267,2025-09-07 07:06:06.38927
638,Epistephium subrepens Hoehne,Epistephium,subrepens Hoehne,,,,2025-09-07 07:06:06.429284,2025-09-07 07:06:06.429286
639,Epistephium trianae Szlach.,Epistephium,trianae Szlach.,,,,2025-09-07 07:06:06.468544,2025-09-07 07:06:06.468547
640,Epistephium williamsii Hook.f.,Epistephium,williamsii Hook.f.,,,,2025-09-07 07:06:06.508796,2025-09-07 07:06:06.5088
641,Clematepistephium N. Hallé,Clematepistephium,N. Hallé,,,,2025-09-07 07:06:06.551582,2025-09-07 07:06:06.551585
642,Clematepistephium smilacifolium (Rchb.f.) N. Hallé,Clematepistephium,smilacifolium Rchb.f.,,,,2025-09-07 07:06:06.591457,2025-09-07 07:06:06.591459
